Chemin,Instance déliberatrice,Identifiant,Majoration,Type recours,Personnalité,Décision,Code juridiction,Nom juridiction,Date,Lien fichier
../data/raw/DTA/2023/12/TA59/DTA_2008930_20231228.xml,Tribunal administratif,2008930,100%,Plein Contentieux,Personne physique,Satisfaction Partielle,59,Tribunal Administratif de Lille,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA59/DTA_2008930_20231228.xml
../data/raw/DTA/2023/12/TA59/DTA_2101377_20231214.xml,Tribunal administratif,2101377,40%,Plein Contentieux,Personne morale,Rejet,59,Tribunal Administratif de Lille,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA59/DTA_2101377_20231214.xml
../data/raw/DTA/2023/12/TA103/DTA_2300129_20231212.xml,Tribunal administratif,2300129,40%,Plein Contentieux,Personne morale,Rejet,103,Tribunal Administratif de la Polynésie française,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA103/DTA_2300129_20231212.xml
../data/raw/DTA/2023/12/TA34/DTA_2121380_20231204.xml,Tribunal administratif,2121380,40%,Plein Contentieux,Personne morale,Rejet,34,Tribunal Administratif de Montpellier,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA34/DTA_2121380_20231204.xml
../data/raw/DTA/2023/12/TA34/DTA_2120440_20231218.xml,Tribunal administratif,2120440,40%,Plein Contentieux,Personne morale,Rejet,34,Tribunal Administratif de Montpellier,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA34/DTA_2120440_20231218.xml
../data/raw/DTA/2023/12/TA34/DTA_2120438_20231218.xml,Tribunal administratif,2120438,40%,Plein Contentieux,Personne morale,Rejet,34,Tribunal Administratif de Montpellier,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA34/DTA_2120438_20231218.xml
../data/raw/DTA/2023/12/TA34/DTA_2201055_20231218.xml,Tribunal administratif,2201055,40%,Plein Contentieux,Personne morale,Rejet,34,Tribunal Administratif de Montpellier,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA34/DTA_2201055_20231218.xml
../data/raw/DTA/2023/12/TA33/DTA_2106734_20231207.xml,Tribunal administratif,2106734,40%,Plein Contentieux,Personne morale,Rejet,33,Tribunal Administratif de Bordeaux,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA33/DTA_2106734_20231207.xml
../data/raw/DTA/2023/12/TA33/DTA_2200060_20231214.xml,Tribunal administratif,2200060,40%,Plein Contentieux,Personne morale,Rejet,33,Tribunal Administratif de Bordeaux,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA33/DTA_2200060_20231214.xml
../data/raw/DTA/2023/12/TA67/DTA_2202500_20231204.xml,Tribunal administratif,2202500,40%,Plein Contentieux,Personne physique,Rejet,67,Tribunal Administratif de Strasbourg,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA67/DTA_2202500_20231204.xml
